czname,gini96,rank_slope,abs_mob_p25
CZ-1778,0.5376,0.4061,0.5175
CZ-9362,0.2621,0.4953,0.5285
CZ-2688,0.4617,0.1483,0.3999
CZ-9433,0.3405,0.5174,0.4315
CZ-3802,0.5209,0.1905,0.4874
CZ-9981,0.2635,0.4194,0.5627
CZ-5661,0.5308,0.3384,0.5026
CZ-2062,0.5012,0.19,0.4553
CZ-9386,0.2853,0.3739,0.6284
CZ-7950,0.2679,0.331,0.5488
CZ-8844,0.5004,0.3142,0.534
CZ-1876,0.2967,0.3494,0.6299
CZ-5663,0.4105,0.3926,0.3811
CZ-6681,0.5247,0.2686,0.2126
CZ-7464,0.4202,0.2805,0.6587
CZ-1218,0.3692,0.3969,0.5257
CZ-4633,0.3835,0.3514,0.2832
CZ-9465,0.2689,0.3979,0.4514
CZ-7503,0.5406,0.2046,0.5156
CZ-1313,0.3432,0.2334,0.4723
CZ-2150,0.3068,0.2825,0.4597
CZ-7627,0.3358,0.2696,0.6771
CZ-5519,0.5393,0.3211,0.2978
CZ-7988,0.2783,0.4146,0.4373
CZ-6217,0.5102,0.2545,0.4611
CZ-3547,0.4624,0.3958,0.5027
CZ-8329,0.499,0.3798,0.5
CZ-8463,0.5428,0.2766,0.5314
CZ-4675,0.5026,0.2035,0.4627
CZ-6486,0.533,0.3861,0.4849
CZ-8883,0.2881,0.3287,0.4979
CZ-6720,0.4887,0.2835,0.4523
CZ-1190,0.4137,0.2687,0.4891
CZ-9042,0.413,0.2249,0.5023
CZ-1996,0.5197,0.1466,0.5244
CZ-4702,0.5415,0.3082,0.4892
CZ-5589,0.4615,0.2189,0.4615
CZ-3250,0.3949,0.5463,0.3871
CZ-9336,0.3869,0.217,0.4956
CZ-1084,0.3659,0.2096,0.493
CZ-3306,0.3585,0.3533,0.5226
CZ-3090,0.3675,0.4321,0.7605
CZ-6331,0.2769,0.3421,0.4708
CZ-5188,0.2732,0.3838,0.5859
CZ-8269,0.484,0.1273,0.575
CZ-6671,0.3838,0.2507,0.5006
CZ-9113,0.5292,0.1753,0.7083
CZ-3410,0.4337,0.1383,0.4225
CZ-8538,0.2606,0.3512,0.5795
CZ-2665,0.2973,0.1514,0.4293
CZ-7449,0.3117,0.2207,0.4769
CZ-8398,0.5427,0.2142,0.4519
CZ-2511,0.3156,0.2588,0.619
CZ-2510,0.4047,0.3303,0.5183
CZ-8129,0.5309,0.2852,0.5781
CZ-1851,0.5432,0.3286,0.4105
CZ-6843,0.3209,0.3839,0.4754
CZ-3731,0.2647,0.4318,0.8633
CZ-3216,0.2961,0.331,0.573
CZ-7903,0.269,0.3636,0.4507
CZ-6776,0.3085,0.3684,0.4371
CZ-7946,0.4206,0.3052,0.3602
CZ-1184,0.5237,0.2311,0.5424
CZ-6682,0.4112,0.2701,0.4336
CZ-6691,0.4378,0.2233,0.4814
CZ-9766,0.3106,0.3606,0.5119
CZ-4626,0.4902,0.2654,0.5319
CZ-6520,0.4353,0.2363,0.3655
CZ-1056,0.5092,0.2142,0.3071
CZ-7571,0.5347,0.1628,0.4524
CZ-2168,0.3544,0.392,0.5733
CZ-6348,0.2772,0.3431,0.5735
CZ-1703,0.3178,0.2556,0.4194
CZ-8505,0.3814,0.3703,0.5711
CZ-6005,0.5337,0.2151,0.3366
CZ-1849,0.3635,0.1984,0.4347
CZ-9941,0.4812,0.3573,0.3346
CZ-3428,0.4121,0.2534,0.633
CZ-7415,0.3048,0.2958,0.598
CZ-2264,0.3462,0.3194,0.5772
CZ-8028,0.446,0.3776,0.6124
CZ-7681,0.4519,0.286,0.7977
CZ-2350,0.3804,0.2099,0.2851
CZ-9576,0.3186,0.3679,0.4276
CZ-5325,0.4666,0.2412,0.3801
CZ-9582,0.3007,0.4808,0.4216
CZ-4050,0.531,0.2606,0.2977
CZ-4945,0.3064,0.1493,0.4854
CZ-2535,0.2822,0.3639,0.3855
CZ-5762,0.3993,0.4558,0.5225
CZ-2500,0.4059,0.4243,0.4857
CZ-8272,0.4025,0.4457,0.5387
CZ-2550,0.381,0.2241,0.5509
CZ-6222,0.5484,0.3284,0.492
CZ-7097,0.3959,0.2435,0.4389
CZ-9135,0.3934,0.3199,0.7393
CZ-9143,0.3765,0.2052,0.52
CZ-3089,0.27,0.2874,0.3131
